1 10	11
2 10	12
3 10	13
4 10	14
5 10	15
6 10	16
7 10	17
8 10	18
9 10	19
1 20	21
2 20	22
3 20	23
4 20	24
5 20	25
6 20	26
7 20	27
8 20	28
9 20	29
1 30	31
2 30	32
3 30	33
4 30	34
5 30	35
6 30	36
7 30	37
8 30	38
9 30	39
1 40	41
2 40	42
3 40	43
4 40	44
5 40	45
6 40	46
7 40	47
8 40	48
9 40	49
1 50	51
2 50	52
3 50	53
4 50	54
5 50	55
6 50	56
7 50	57
8 50	58
9 50	59
1 60	61
2 60	62
3 60	63
4 60	64
5 60	65
6 60	66
7 60	67
8 60	68
9 60	69
1 70	71
2 70	72
3 70	73
4 70	74
5 70	75
6 70	76
7 70	77
8 70	78
9 70	79
1 80	81
2 80	82
3 80	83
4 80	84
5 80	85
6 80	86
7 80	87
8 80	88
9 80	89
1 90	91
2 90	92
3 90	93
4 90	94
5 90	95
6 90	96
7 90	97
8 90	98
9 90	99
