ID,duration,wav,wav_format,wav_opts

noise-free-sound-0000_4,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0000_4.wav,wav,
noise-free-sound-0001_12,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0001_12.wav,wav,
noise-free-sound-0002_22,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0002_22.wav,wav,
noise-free-sound-0003_3,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0003_3.wav,wav,
noise-free-sound-0004,2.9865,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0004.wav,wav,
noise-free-sound-0005_6,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0005_6.wav,wav,
noise-free-sound-0006_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0006_1.wav,wav,
noise-free-sound-0007_4,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0007_4.wav,wav,
noise-free-sound-0008_5,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0008_5.wav,wav,
noise-free-sound-0009_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0009_1.wav,wav,
noise-free-sound-0010_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0010_1.wav,wav,
noise-free-sound-0011_10,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0011_10.wav,wav,
noise-free-sound-0012_9,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0012_9.wav,wav,
noise-free-sound-0013,1.5445,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0013.wav,wav,
noise-free-sound-0014_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0014_0.wav,wav,
noise-free-sound-0015_29,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0015_29.wav,wav,
noise-free-sound-0016_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0016_0.wav,wav,
noise-free-sound-0017_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0017_1.wav,wav,
noise-free-sound-0018_3,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0018_3.wav,wav,
noise-free-sound-0019_2,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0019_2.wav,wav,
noise-free-sound-0020_19,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0020_19.wav,wav,
noise-free-sound-0021_5,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0021_5.wav,wav,
noise-free-sound-0022_7,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0022_7.wav,wav,
noise-free-sound-0023_2,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0023_2.wav,wav,
noise-free-sound-0024_5,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0024_5.wav,wav,
noise-free-sound-0025,2.3466875,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0025.wav,wav,
noise-free-sound-0026_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0026_0.wav,wav,
noise-free-sound-0027_6,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0027_6.wav,wav,
noise-free-sound-0028_5,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0028_5.wav,wav,
noise-free-sound-0029_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0029_1.wav,wav,
noise-free-sound-0030_23,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0030_23.wav,wav,
noise-free-sound-0031_10,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0031_10.wav,wav,
noise-free-sound-0032_19,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0032_19.wav,wav,
noise-free-sound-0033_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0033_0.wav,wav,
noise-free-sound-0034_5,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0034_5.wav,wav,
noise-free-sound-0035_9,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0035_9.wav,wav,
noise-free-sound-0036_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0036_0.wav,wav,
noise-free-sound-0037,0.94,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0037.wav,wav,
noise-free-sound-0038,0.9133125,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0038.wav,wav,
noise-free-sound-0039_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0039_0.wav,wav,
noise-free-sound-0040_4,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0040_4.wav,wav,
noise-free-sound-0041_18,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0041_18.wav,wav,
noise-free-sound-0042_105,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0042_105.wav,wav,
noise-free-sound-0043,1.5325,/home/users/xiongxinlei/task/asr/PaddleSpeech/paddlespeech/vector/speechbrain/recipes/VoxCeleb/dataset/RIRS_NOISES/pointsource_noises/noise-free-sound-0043.wav,wav,
noise-free-sound-0044_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0044_0.wav,wav,
noise-free-sound-0045_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0045_0.wav,wav,
noise-free-sound-0046_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0046_0.wav,wav,
noise-free-sound-0047_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0047_0.wav,wav,
noise-free-sound-0048_163,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0048_163.wav,wav,
noise-free-sound-0049_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0049_0.wav,wav,
noise-free-sound-0050_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0050_0.wav,wav,
noise-free-sound-0051_1,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0051_1.wav,wav,
noise-free-sound-0052_0,3.0,./audios/RIRS_NOISES/pointsource_noises/noise-free-sound-0052_0.wav,wav,
